movieId,title,genres,year,tmdb_id
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,862
2,Jumanji (1995),Adventure|Children|Fantasy,1995,8844
32,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller,1995,63
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,807
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,629
110,Braveheart (1995),Action|Drama|War,1995,197
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,568
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977,11
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1994,680
318,"Shawshank Redemption, The (1994)",Crime|Drama,1994,278
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,1994,193
344,Ace Ventura: Pet Detective (1994),Comedy,1994,7340
356,Forrest Gump (1994),Comedy|Drama|Romance|War,1994,13
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1994,8587
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,1994,8846
377,Speed (1994),Action|Romance|Thriller,1994,1637
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,1994,36955
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,1993,329
527,Schindler's List (1993),Drama|War,1993,424
539,Sleepless in Seattle (1993),Comedy|Drama|Romance,1993,858
585,"Brady Bunch Movie, The (1995)",Comedy,1995,11332
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1992,812
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,1991,280
590,Dances with Wolves (1990),Adventure|Drama|Western,1990,17654
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,1991,274
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,1991,10020
608,Fargo (1996),Comedy|Crime|Drama|Thriller,1996,275
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,1996,954
733,"Rock, The (1996)",Action|Adventure|Thriller,1996,9802
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,1996,602
1036,Die Hard (1988),Action|Crime|Thriller,1988,562
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,1971,12102
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,1975,762
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1980,1891
1198,Raiders of the Lost Ark (1981),Action|Adventure,1981,85
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,1983,1892
1214,Alien (1979),Horror|Sci-Fi,1979,348
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,1984,218
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1985,105
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,1999,603
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,1999,745
2858,American Beauty (1999),Drama|Romance,1999,14
2959,Fight Club (1999),Action|Crime|Drama|Thriller,1999,550
3578,Gladiator (2000),Action|Adventure|Drama,2000,98
4022,Cast Away (2000),Drama,2000,8358
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,808
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,2001,120
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,2002,121
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,2003,22
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,2003,122
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,2004,558
33794,Batman Begins (2005),Action|Crime|IMAX,2005,272
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,2006,1124
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2008,155
68954,Up (2009),Adventure|Animation|Children|Drama,2009,14160
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,2009,19995
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010,27205
99114,Django Unchained (2012),Action|Drama|Western,2012,68718
109487,Interstellar (2014),Sci-Fi|IMAX,2014,157336
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,2014,118340
122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,2015,76341
134130,"Martian, The (2015)",Adventure|Drama|Sci-Fi,2015,286217
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,2016,269149
164179,Arrival (2016),Sci-Fi,2016,329865
177765,Coco (2017),Adventure|Animation|Children|Comedy|Fantasy|Musical,2017,354912
187593,Deadpool 2 (2018),Action|Comedy|Sci-Fi,2018,383498
198435,"Irishman, The (2019)",Crime|Drama,2019,398978
209163,Parasite (2019),Comedy|Drama|Thriller,2019,496243
